id,filename,line_number,organization_name,city_state,organization_type,position_held,from_date,to_date,staffer_id,organization_id,organization_slug,pfd_endnote
"20","1020","3","Saeculum Capital Partners LP","Dover, Delaware","Commodity Pool","Managing Member of the General Partner (SCM LLC)","2013-10-16","2016-12-16","1036","5112","saeculum-capital-partners-lp",""
"21","1020","4","DC Trust #1, U.S. bank #2","Washington, District of Columbia","Trust","Sole Trustee","2007-08-16","","1036","5113","dc-trust-1-u-s-bank-2_hide",""
"22","1020","5","DC Trust #2, U.S. bank #2","Washington, District of Columbia","Trust","Sole Trustee","2009-08-16","","1036","5114","dc-trust-2-u-s-bank-2_hide",""
"23","1020","6","Foundation for the Preservation of Historic Georgetown","Washington, District of Columbia","Non-Profit","Trustee","2015-10-16","","1036","5115","foundation-for-the-preservation-of-historic-georgetown",""
"24","1021","1","Textron Inc.","Providence, Rhode Island","Corporation","President & CEO Textron Systems","2012-10-16","","1037","16","textron-inc",""
"26","1021","3","U. S. Naval Institute Foundation","Annapolis, Maryland","Non-Profit","Trustee","2015-05-16","","1037","5116","u-s-naval-institute-foundation",""
"27","1021","4","Family Trust","Baltimore, Maryland","Trust","Co-trustee","2016-04-16","","1037","5117","family-trust_hide-19dd9db4-6cc6-4d03-9424-416928f7b87c",""
"28","1021","5","Center for New American Security","Washington, District of Columbia","Non-Profit","Advisor","2014-01-16","","1037","2785","center-for-a-new-american-security",""
"29","1021","6","U.S. India Business Council","Washington, District of Columbia","Non-Profit","Board of Directors","2014-04-16","","1037","5118","u-s-india-business-council",""
"30","1022","1","Stanford University","Stanford, California","University/Colle ge","Professor of Medicine; Vice Chair, Department of Medicine; resident fellow, Robinson House; attending physician, University Hospitalist Service","2013-08-16","","1038","17","stanford-university",""
"31","1022","2","Infectious Disease Alert","New York, New York","medical journal","Associate Editor","2004-01-16","","1038","5119","infectious-disease-alert",""
"32","1022","3","Diagnostic Microbiology and Infectious Disease","Amsterdam, Netherlands","Medical Journal","Associate Editor","2014-01-16","","1038","5120","diagnostic-microbiology-and-infectious-disease",""
"33","1022","4","AIDS","London, England","Journal","Reviewer","1990-01-16","","1038","5121","aids",""
"34","1022","5","Journal of Antimicrobial Chemotherapy","Oxford, England","Medical Journal","Reviewer","2013-01-16","","1038","5122","journal-of-antimicrobial-chemotherapy",""
"36","1022","7","Infectious Diseases Society of America Guidelines Committee","Atlanta, Georgia","medical/scientifi c","Chair","2011-10-16","","1038","5124","infectious-diseases-society-of-america-guidelines-committee",""
"37","1022","8","Weiss Salinas Law Group","Fresno, California","Law Firm","consultant","2016-01-16","","1038","5125","weiss-salinas-law-group","Consultancy ended 5/2017"
"38","1022","9","Norcal Mutual Insurance, Co","San Francisco, California","insurance company","consultant","2016-07-16","2016-09-16","1038","5126","norcal-mutual-insurance-co",""
"39","1022","10","City and County of San Francisco","San Francisco, California","local government","consultant","2016-04-16","2016-06-16","1038","5127","city-and-county-of-san-francisco",""
"40","1023","1","PricewaterhouseCoopers Public Sector, LLP","McLean, Virginia","Partnership","Managing Director","2007-08-16","","1039","18","pricewaterhousecoopers",""
"42","1024","2","Washington Tennis and Education Foundation","Washington, District of Columbia","Non-Profit","Board Member","2005-01-16","","1040","5128","washington-tennis-and-education-foundation",""
"3651","680","16","K Morgan Street Manager Corp","Florham Park, New Jersey","Corporation","President","2014-11-15","2017-01-16","693","7254","k-morgan-street-manager-corp",""
"44","1024","4","The Bryce Harlow Foundation","Washington, District of Columbia","Non-Profit","Board Member","2012-01-16","","1040","5129","the-bryce-harlow-foundation",""
"46","1026","2","Kevin Michael Fahey Incorporated (strategic consulting firm)","Arlington, Virginia","Corporation","President","2016-01-16","","1042","25","kevin-michael-fahey-incorporated",""
"47","1027","1","Pennsylvania Lambda Corporation","State College, Pennsylvania","Corporation","President","2014-06-16","2015-05-16","1043","5130","pennsylvania-lambda-corporation",""
"48","1027","2","Pennsylvania Lambda Corporation","State College, Pennsylvania","Corporation","Vice President","2015-06-16","2016-05-16","1043","5130","pennsylvania-lambda-corporation",""
"49","1028","1","Raytheon Company","Waltham, Massachusetts","Corporation","Vice President","2010-07-16","","1044","22","raytheon-company",""
"51","1029","1","CH2M HILL","Washington, District of Columbia","Corporation","VP Government Relations","2009-01-16","","1045","26","ch2m-hill",""
"52","1029","2","International Stability Operations Association (uncompensated)","Washington, District of Columbia","Non-Profit","Board of Directors","2011-01-16","2015-12-16","1045","5132","international-stability-operations-association-uncompensated",""
"53","1029","3","Trump for America, Inc. (uncompensated)","Washington, District of Columbia","Non-Profit","volunteer","2016-12-16","2017-01-16","1045","12","trump-for-america-inc",""
"54","1030","1","North Hill Partners, LLC","Westfield, Vermont","Corporation","Partner","2016-06-16","","1046","5133","north-hill-partners-llc",""
"55","1030","2","Revocable Family Trust","Bolton, Vermont","Trust","Co-trustee","2003-11-16","","1046","5134","revocable-family-trust_hide",""
"56","1033","1","King & Spalding","Washington, District of Columbia","Law Firm","Partner","2004-06-16","","1049","27","king-spalding-llp",""
"58","1034","1","Lockheed Martin Corporation","Bethesda, Maryland","Corporation","Senior Vice President/Vice President","2014-06-16","","1050","13","lockheed-martin",""
"59","1034","2","Youth Impact Program","Alexandria, Virginia","Non-Profit","Member, Board of Directors","2015-03-16","","1050","5136","youth-impact-program",""
"60","1034","3","US-India Business Council","Washington, District of Columbia","Non-Profit","Member of Board of Directors","2016-11-15","","1050","5118","u-s-india-business-council",""
"62","1036","1","IP Engineering Group Corporation","Monument, Colorado","Corporation","President and CEO","2015-01-16","","1052","36","ip-engineering-group-corporation",""
"63","1036","2","Rocky Mountain Innovation Partners","Colorado Springs, Colorado","Non-Profit","Founding Board Member and Director","2014-06-16","","1052","38","rocky-mountain-innovation-partners",""
"64","1036","3","Impact Engineered Wood Corporation","Campbell, California","Corporation","Chairman","2015-05-16","2017-06-16","1052","5138","impact-engineered-wood-corporation",""
"65","1036","4","Tekcapital plc","Oxford, UK, Outside U.S.","Corporation","Advisor and VP Technology Transfer","2014-07-16","","1052","5139","tekcapital-plc",""
"66","1036","5","Copan Associates LLC","Monument, Colorado","Consulting Firm - LLC","President","2009-08-16","","1052","39","copan-associates-llc",""
"68","1036","7","COPAN LIVING TRUST, dated March 28, 2016","Monument, Colorado","Trust","Trustee","2016-03-16","","1052","5141","copan-living-trust-dated-march-28-2016","Trustee of revocable living family trust, under Colorado law.  This position provides no compensation. All the underlying assets of the trust are listed in this report."
"69","1037 (2)","1","XCOR Aerospace, Inc.","Midland, Texas","Corporation","President/CEO","2015-02-15","2017-06-16","1053","41","xcor-aerospace-inc",""
"70","1037 (2)","2","Looking Glass Investments","Milwaukee, Wisconsin","LLC","Chairman of Advisory Board","2016-01-16","2017-06-16","1053","5142","looking-glass-investments",""
"71","1037","1","XCOR Aerospace, Inc.","Midland, Texas","Corporation","President/CEO","2015-02-15","","1053","41","xcor-aerospace-inc",""
"72","1037","2","Looking Glass Investments","Milwaukee, Wisconsin","LLC","Chairman of Advisory Board","2016-01-16","","1053","5142","looking-glass-investments",""
"73","1038","1","Filers Farm","New Madrid, Missouri","Farm Owned and Operated","Owner","1975-01-16","","1054","5143","filers-farm",""
"74","1038","2","A C Riley Cotton Co, LLC","New Madrid, Missouri","Limited Liability Company","Managing Member ( I manage cotton gin business)","2001-11-16","","1054","42","a-c-riley-cotton-co-llc",""
"75","1038","3","A C Riley Land Co, LLC","New Madrid, Missouri","Limited Liability Company","Managing Member (I manage farmland)","2001-11-16","","1054","43","a-c-riley-land-co-llc",""
"76","1038","4","A C Riley Equipment Co, LLC","New Madrid, Missouri","Limited Liability Company","Managing Member (I Manage equipment rental company)","2001-11-16","","1054","5144","a-c-riley-equipment-co-llc",""
"77","1038","5","The Riley James Family Limited Partnership","New Madrid, Missouri","Family Limited Partnership","Managing Partner","1997-01-16","","1054","5145","the-riley-james-family-limited-partnership",""
"78","1038","6","OSI Farms, LLC","New Madrid, Missouri","Limited Liability Company","Member(Dirt moving business) It is managed by IC 1","2009-02-15","","1054","5146","osi-farms-llc",""
"79","1038","7","Spouse's Generation Skipping Trust","New Madrid, Missouri","Trust","Trustee(I have no beneficial interest in this Trust)","2001-11-16","","1054","5147","spouse-s-generation-skipping-trust_hide",""
"80","1038","8","Family member Generation Skipping Trust","New Madrid, Missouri","Trust","Trustee (I have no beneficial interest in this Trust)","2001-11-16","","1054","5148","family-member-generation-skipping-trust_hide",""
"81","1038","9","Spouse's  Trust","New Madrid, Missouri","Trust","Trustee (I have no beneficial interest in this Trust)","2001-11-16","","1054","5149","spouse-s-trust",""
"82","1038","10","Family Member Trust","New Madrid, Missouri","Trust","Trustee (I have no beneficial interest in this Trust)","2001-11-16","","1054","5150","family-member-trust_hide",""
"84","1038","12","Spouse's CFP GST","New Madrid, Missouri","Trust","Trustee (I have no beneficial interest in this Trust)","2014-12-16","","1054","5152","spouse-s-cfp-gst",""
"85","1038","13","Spouse's Farm","New Madrid, Missouri","SPOUSE sole proprietorship","manager for my wife's farm land","1970-08-16","","1054","5153","spouse-s-farm",""
"86","1039","1","Center for Urban Families","Baltimore, Maryland","Non-Profit","Board Member","2016-01-16","","1055","5154","center-for-urban-families",""
"3652","680","17","K Morgan Street Construction Manager Corp.","Florham Park, New Jersey","Corporation","President","2014-11-15","2017-01-16","693","7255","k-morgan-street-construction-manager-corp",""
"3653","680","18","K Morgan Street Property Manager Corp.","Florham Park, New Jersey","Corporation","President","2016-01-16","2017-01-16","693","7256","k-morgan-street-property-manager-corp",""
"3654","680","19","K One Journal Square Manager Corp.","Florham Park, New Jersey","Corporation","President","2014-12-16","2017-01-16","693","7257","k-one-journal-square-manager-corp",""
"3655","680","20","KC Dumbo Hotel, LLC","New York, New York","Limited Liability Company","Non-member Manager","2013-10-16","2017-01-16","693","7258","kc-dumbo-hotel-llc",""
"89","1039","4","Civic Federation of Chicago","Chicago, Illinois","Non-Profit","Trustee and Board Member","2000-01-16","","1055","5156","civic-federation-of-chicago",""
"90","1039","5","Adler Planetarium","Chicago, Illinois","Non-Profit","Trustee","2006-01-16","","1055","5157","adler-planetarium",""
"91","1039","6","Adler Planetarium","Chicago, Illinois","Non-Profit","Secretary of the Board","2014-01-16","","1055","5157","adler-planetarium",""
"92","1039","7","Baltimore Urban Debate League","Baltimore, Maryland","Non-Profit","Board Member","2013-01-16","","1055","5158","baltimore-urban-debate-league",""
"94","1039","9","Family Trust #2","Dover, Delaware","Trust","Trustee","2012-12-16","","1055","5160","family-trust-2_hide",""
"95","1039","10","Pier Homes at Harborview Homeowners Association","Baltimore, Maryland","Non-Profit Homeowners Association","Board President","2016-01-16","","1055","5161","pier-homes-at-harborview-homeowners-association",""
"96","1039","11","Independent Maps","Chicago, Illinois","Non-Profit","Board Member","2015-06-16","2016-06-16","1055","5162","independent-maps",""
"98","1039","13","Baltimore World Trade Center Institute","Baltimore, Maryland","Non-Profit","Pro-Bono Advisor","2015-01-16","","1055","5164","baltimore-world-trade-center-institute",""
"99","1039","14","YPO Gold Baltimore-Washington Chapter","Baltimore, Maryland","Non-Profit","Ex-Officio Board Member","2015-01-16","","1055","5165","ypo-gold-baltimore-washington-chapter",""
"100","1040","1","Fickling Management Services","Macon, Georgia","Corporation","President","2014-11-15","","1056","45","fickling-management-services",""
"101","1040","2","State Bank and Trust","Atlanta, Georgia","Corporation","Board Member","2012-09-16","","1056","46","state-bank-and-trust",""
"102","1040","3","Boeing Corporation","Warner Robins, Georgia","Corporation","C-17 Director of Field Operations","2014-05-16","2015-08-16","1056","47","boeing-company",""
"103","1040","4","Dayton Aerospace Inc","Dayton, Ohio","Corporation","Consultant","2017-02-15","","1056","5166","dayton-aerospace-inc",""
"105","1040","6","The Macon Cherry Blossom Festival Board of Directors","Macon, Georgia","Non-Profit","Board Member","2012-09-16","","1056","5168","the-macon-cherry-blossom-festival-board-of-directors",""
"106","1040","7","The Macon Chamber of Commerce Executive Board","Macon, Georgia","Non-Profit","Board Member","2016-01-16","","1056","5169","the-macon-chamber-of-commerce-executive-board",""
"108","1040","9","21st Century Partnership Advisory Board","Warner Robins AFB, Georgia","Non-Profit","Board Member","2016-03-16","","1056","819","twenty-first-century-fox-inc",""
"109","1041","1","Global Atlantic Financial Group Limited","New York, New York","Corporation","Board of Directors","2013-05-16","","1057","48","global-atlantic-financial-group-limited",""
"110","1041","2","CX Technologies LLC","Atlanta, Georgia","Limited Liabilty Company","Board of Directors","2013-08-16","","1057","5171","cx-technologies-llc",""
"111","1041","3","86Borders LLC","Atlanta, Georgia","Limited Liability Company","Board of Directors","2013-03-16","","1057","5172","86borders-llc",""
"112","1041","4","StarPound Technologies, Inc.","Atlanta, Georgia","Corporation","Board of Directors","2011-09-16","","1057","5173","starpound-technologies-inc",""
"113","1041","5","Marine Corps Heritage Foundation","Quantico, Virginia","Non-Profit","Board of Directors","2010-11-15","","1057","5174","marine-corps-heritage-foundation",""
"115","1041","7","Veterans Campaign","Washington, District of Columbia","Non-Profit","Board of Directors","2010-02-15","","1057","5176","veterans-campaign",""
"116","1041","8","Honoring Our Veterans","Jackson, Wyoming","Non-Profit","Board of Directors","2014-08-16","","1057","5177","honoring-our-veterans",""
"117","1041","9","Teton County Search and Rescue Foundation","Jackson, Wyoming","Non-Profit","Board of Directors","2014-06-16","","1057","5178","teton-county-search-and-rescue-foundation",""
"118","1041","10","Fall Creek Management LLC","Wilson, Wyoming","Limited Liability Company","Managing Member","2008-01-16","","1057","5179","fall-creek-management-llc",""
"119","1041","11","ENGAGEcx","Atlanta, Georgia","Corporation","Board Member","2014-04-16","","1057","5180","engagecx",""
"121","1041","13","Ariel Re Limited","Hamilton, Bermuda, Outside U.S.","Corporation","Board of Directors","2013-05-16","","1057","5181","ariel-re-limited",""
"122","1041","14","Commonwealth Annuity and Life Insurance Company","Southborough, Massachusetts","Corporation","Board of Directors","2013-05-16","","1057","5182","commonwealth-annuity-and-life-insurance-company",""
"123","1041","15","First Allmerica Financial Life Insurance Company","Southborough, Massachusetts","Corporation","Board of Directors","2013-05-16","","1057","5183","first-allmerica-financial-life-insurance-company",""
"124","1041","16","Accordia Life and Annuity Company","Des Moines, Iowa","Corporation","Board of Diectors","2013-09-16","","1057","5184","accordia-life-and-annuity-company",""
"126","1041","18","Forethought National Life Insurance Company","Houston, Texas","Corporation","Board of Directors","2014-01-16","","1057","5186","forethought-national-life-insurance-company",""
"127","1042","1","USAA","San Antonio, Texas","Corporation","Chief Administrative Officer","2015-02-15","2016-08-16","1058","49","usaa",""
"128","1042","2","McNay Art Museum","San Antonio, Texas","Non-Profit","Board Member","2013-10-16","","1058","5187","mcnay-art-museum","There is no compensation associated with this position."
"129","1042","3","Haven for Hope","San Antonio, Texas","Non-Profit","Board Member","2014-10-16","","1058","5188","haven-for-hope","start date is an estimate"
"131","1043","1","Kellogg Huber Hansen Todd Evans & Figel, PLLC","Washington, District of Columbia","Law Firm","Partner","2007-11-15","","1059","50","kellogg-huber-hansen-todd-evans-figel-pllc","Effective on or around March 1, 2017, my law firm's name will change to Kellogg, Hansen, Todd, Figel & Frederick, PLLC."
"132","1043","2","Estate of Family Member","Fairfax, Virginia","Estate","Executor","2014-01-16","","1059","5190","estate-of-family-member",""
"3656","680","21","KC Dumbo Office, LLC","New York, New York","Limited Liability Company","Non-member Manager","2013-10-16","2017-01-16","693","7259","kc-dumbo-office-llc",""
"135","1044","3","Dynetics Corporation","Huntsville, Alabama","Corporation","Consultant","2017-05-16","","1060","57","dynetics-corporation",""
"136","1044","4","Belcan Industries, LLC","Cincinnati, Ohio","Corporation","Consultant","2017-05-16","","1060","58","belcan-industries-llc","Position terminated after filing on November 30, 2017."
"137","1044","5","Charles Stark Draper Laboratory","Cambridge, Massachusetts","Non-Profit","Member of the Corporation","2009-10-16","","1060","5191","charles-stark-draper-laboratory",""
"138","1044","6","American Institute of Aeronautics and Astronautics Foundation","Reston, Virginia","Non-Profit","Chairman","2014-05-16","2016-05-16","1060","5192","american-institute-of-aeronautics-and-astronautics-foundation",""
"139","1044","7","Johns Hopkins University Applied Physics Laboratory","Laural, Maryland","Non-Profit","Senior Fellow","2016-04-16","","1060","59","johns-hopkins-university",""
"140","1044","8","Teledyne Brown Engineering","Huntsville, Alabama","Corporation","Consultant","2015-05-16","2015-06-16","1060","60","teledyne-brown-engineering",""
"141","1044","9","BWX Technologies, Inc.","Lynchburg, Virginia","Corporation","Consultant","2016-08-16","2016-08-16","1060","5193","bwx-technologies-inc",""
"142","1044","10","Stratolaunch Systems","Seattle, Washington","Corporation","Advisory Board Member","2013-08-16","","1060","61","stratolaunch-systems",""
"143","1044","11","Vanguard Research Inc.","Springfield, Virginia","Corporation","Consultant","2017-05-16","","1060","64","vanguard-research-inc",""
"144","1044","12","8 Rivers Capital","Durham, North Carolina","Corporation","Advisory Board Member","2016-05-16","2017-07-16","1060","5194","8-rivers-capital","This is an uncompensated position that terminated on July 1, 2017."
"145","1044","13","OmniEarth, Inc.","Arlington, Virginia","Corporation","Board Member","2014-06-16","2017-04-16","1060","62","omniearth-inc",""
"146","1044","14","Systems Engineering Research Center","Hoboken, New Jersey","University Affiliated Research Center","Advisory Board Chair","2015-11-15","2017-11-15","1060","5195","systems-engineering-research-center",""
"147","1044","15","Family Revocable Trust","Huntsville, Alabama","Trust","Co-Trustee","2014-08-16","","1060","5196","family-revocable-trust_hide",""
"148","1044","16","GriffinSpace Consulting, LLC","Madison, Alabama","LLC","Managing Member","2017-06-16","","1060","5197","griffinspace-consulting-llc",""
"150","1044","18","Faulconer Consulting Group, LLC","Denver, Colorado","LLC","Instructor","2017-09-16","2017-09-16","1060","5199","faulconer-consulting-group-llc",""
"151","1044","19","Engility Corporation","Chantilly, Virginia","Corporation","Consultant","2017-11-15","2017-11-15","1060","63","engility-corporation",""
"152","1044","20","Zero Point Frontiers, LLC","Huntsville, Alabama","LLC","Consultant","2017-08-16","2017-08-16","1060","5200","zero-point-frontiers-llc",""
"153","1046","1","University System of New Hampshire","Concord, New Hampshire","University/Colle ge","Director, Economic Partnerships","2017-03-16","","1062","65","university-system-of-new-hampshire",""
"154","1046","2","University of New Hampshire Law School","Concord, New Hampshire","University/Colle ge","Executive Director","2015-09-16","2016-03-16","1062","66","university-of-new-hampshire-law-school",""
"155","1046","3","BAE Systems","Nashua, New Hampshire","Corporation","Director, Strategy","2010-11-15","2015-09-16","1062","23","bae-systems",""
"156","1046","4","Catholic Medical Center","Manchester, New Hampshire","Non-Profit","Director","2009-06-16","2016-04-16","1062","5201","catholic-medical-center",""
"157","1047","1","Synovision Solutions LLC","Burke, Virginia","Corporation","President & CEO","2005-01-16","","1063","68","synovision-solutions-llc",""
"159","1047","3","Synovision Research Inc.","The Woodlands, Texas","Corporation","Director","2011-12-16","","1063","5202","synovision-research-inc",""
"160","1047","4","Synovision EP Inc.","Burke, Virginia","Corporation","Director","2011-12-16","","1063","5203","synovision-ep-inc",""
"161","1047","5","Synovision Global Inc","Burke, Virginia","Corporation","Director","2010-09-16","","1063","5204","synovision-global-inc",""
"162","1047","6","Jette Family Foundation (501(c)(3))","Burke, Virginia","Trust","Trustee","2008-12-16","","1063","5205","jette-family-foundation-501-c-3","No permanent, named beneficiaries"
"164","1047","8","Kenya Komposites","Washington, District of Columbia","Corporation","Technology Advisor","2017-05-16","","1063","5207","kenya-komposites",""
"165","1048","1","C. D. Stimson commercial real estate company","Seattle, Washington","Corporation","Vice Chairman of the Board","2010-06-16","","1064","74","c-d-stimson-commercial-real-estate-company",""
"166","1048","2","United States Soccer Foundation","Washington, District of Columbia","Non-Profit","Chairman of the Board","2015-02-15","","1064","5208","united-states-soccer-foundation",""
"167","1048","3","Heritage Foundation","Washington, District of Columbia","Non-Profit","Chief of Staff","2007-09-16","","1064","73","the-heritage-foundation",""
"168","1048","4","GST Exempt Trust","Frederick, Maryland","Trust","Trustee","2009-09-16","","1064","5209","gst-exempt-trust",""
"169","1048","5","Education Trust","Frederick, Maryland","Trust","Trustee","2009-09-16","","1064","5210","education-trust_hide",""
"170","1048","6","Stimson Marina, Inc","Seattle, Washington","Corporation","Director","1998-06-16","","1064","5211","stimson-marina-inc","Uncompensated position."
"171","1050","1","Invesco Ltd.","Atlanta, Georgia","Corporation","Senior Managing Director","2011-05-16","","1066","75","invesco-ltd",""
"173","1050","3","Shady Side Academy","Pittsburgh, Pennsylvania","Day School","Trustee","2014-04-16","","1066","5213","shady-side-academy",""
"174","1050","4","Magee-Womens Research Institute","Pittsburgh, Pennsylvania","Non-Profit","Trustee","2009-07-16","","1066","5214","magee-womens-research-institute",""
"175","1050","5","Invesco Mortgage Capital Inc.","Atlanta, Georgia","Corporation","Director","2008-06-16","","1066","5215","invesco-mortgage-capital-inc",""
"176","1050","6","Invesco Advisers, Inc.","Atlanta, Georgia","Corporation","Director,Co- President,Co- CEO,Co- Chairman","1990-01-16","2017-03-16","1066","76","invesco-advisers-inc",""
"178","1050","8","Short-Term Investments Company (Global Series) plc","Dublin, Outside U.S.","Corporation","Director","2000-12-16","2016-09-16","1066","5217","short-term-investments-company-global-series-plc",""
"179","1050","9","Invesco Funds","Luxembourg, Outside U.S.","Corporation","Director","2012-07-16","2016-10-16","1066","5218","invesco-funds",""
"3657","680","22","KF Middle River, LLC","Florham Park, New Jersey","Limited Liability Company","Managing Member","2014-07-16","2017-01-16","693","7260","kf-middle-river-llc",""
"181","1050","11","Invesco India (Mauritius) Limited","Mauritius, Outside U.S.","Corporation","Director","2015-07-16","2016-10-16","1066","5220","invesco-india-mauritius-limited",""
"182","1050","12","Invesco India (Mauritius) II Limited","Mauritius, Outside U.S.","Corporation","Director","2015-12-16","2016-10-16","1066","5221","invesco-india-mauritius-ii-limited",""
"184","1050","14","AIM Counselor Series Trust (Invesco Counselor Series Trust)","Houston, Texas","Corporation","Senior Vice President","2003-11-16","2016-03-16","1066","5223","aim-counselor-series-trust-invesco-counselor-series-trust",""
"185","1050","15","AIM Equity Funds (Invesco Equity Funds)","Houston, Texas","Corporation","Senior Vice President","2004-03-16","2017-03-16","1066","5224","aim-equity-funds-invesco-equity-funds",""
"186","1050","16","AIM Funds Group (Invesco Funds Group)","Houston, Texas","Corporation","Senior Vice President","1993-09-16","2017-03-16","1066","5225","aim-funds-group-invesco-funds-group",""
"188","1050","18","AIM Investment Funds (Invesco Investment Funds)","Houston, Texas","Corporation","Senior Vice President","2004-03-16","2017-03-16","1066","5227","aim-investment-funds-invesco-investment-funds",""
"189","1050","19","AIM International Mutual Funds (Invesco International Mutual Funds)","Houston, Texas","Corporation","Senior Vice President","2004-03-16","2017-03-16","1066","5228","aim-international-mutual-funds-invesco-international-mutual-funds",""
"191","1050","21","Invesco Management Group, Inc","Houston, Texas","Corporation","Senior Vice President","2007-09-16","2017-03-16","1066","5230","invesco-management-group-inc",""
"192","1050","22","AIM Sector Funds (Invesco Sector Funds)","Houston, Texas","Corporation","Senior Vice President","2003-11-16","2017-03-16","1066","5231","aim-sector-funds-invesco-sector-funds",""
"193","1050","23","AIM Tax Exempt Funds (Invesco Tax Exempt Funds)","Houston, Texas","Corporation","Senior Vice President","1999-12-16","2017-03-16","1066","5232","aim-tax-exempt-funds-invesco-tax-exempt-funds",""
"194","1050","24","AIM Treasures Series Trust (Invesco Treasures Series Trust)","Houston, Texas","Corporation","Senior Vice President, President","2003-11-16","2017-03-16","1066","5233","aim-treasures-series-trust-invesco-treasures-series-trust",""
"196","1050","26","Invesco Bond Fund","Atlanta, Georgia","Corporation","Senior Vice President","2010-06-16","2017-03-16","1066","5235","invesco-bond-fund",""
"197","1050","27","Invesco Cayman Commodity V Ltd","Cayman Islands, Outside U.S.","Corporation","Senior Vice President","2012-09-16","2017-03-16","1066","5236","invesco-cayman-commodity-v-ltd",""
"198","1050","28","Invesco Dynamic Credit Opportunities Fund","Atlanta, Georgia","Corporation","Senior Vice President","2010-06-16","2017-03-16","1066","5237","invesco-dynamic-credit-opportunities-fund",""
"199","1050","29","Invesco Exchange Fund","Houston, Texas","Corporation","Senior Vice President","2010-06-16","2017-03-16","1066","5238","invesco-exchange-fund",""
"200","1050","30","Invesco High Income Trust II","Atlanta, Georgia","Corporation","Senior Vice President","2012-08-16","2017-03-16","1066","5239","invesco-high-income-trust-ii",""
"201","1050","31","Invesco Municipal Income Opportunities Trust","Atlanta, Georgia","Corporation","Senior Vice President","2010-06-16","2017-03-16","1066","5240","invesco-municipal-income-opportunities-trust",""
"202","1050","32","Invesco Municipal Trust","Atlanta, Georgia","Corporation","Senior Vice President","2012-10-16","2017-03-16","1066","5241","invesco-municipal-trust",""
"204","1050","34","Invesco Multi-Asset Income Cayman Ltd","Cayman Island, Outside U.S.","Corporation","Senior Vice President","2015-12-16","2017-03-16","1066","5243","invesco-multi-asset-income-cayman-ltd",""
"205","1050","35","Invesco Quality Municipal Income Trust","Atlanta, Georgia","Corporation","Senior Vice President","2012-10-16","2017-03-16","1066","5244","invesco-quality-municipal-income-trust",""
