id,agency_name,name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,financial_disclosure_url,ethics_waiver_url,image_url,reason_for_missing_report,agency_id,slug,has_lobbyists,taskforce_member,taskforce_title,taskforce_agency,agency_slug,senate_lobbying_confirmation,last_year_lobbied,senate_lobbying_url,linkedin_url,outside_bio,bio_source,bio_url,sge,last_name,awaiting_senate_confirmation,nomination_appointment_failed,government_transfer,propublica_bio,resume_document_url
"34","Environmental Protection Agency","R. Layne Bangerter","Senior Advisor","","","$134,789-$164,200*","2017-01-21","","https://www.documentcloud.org/documents/3766084-Bangerter-Layne.html","","","","63","r-layne-bangerter","","","","","environmental-protection-agency","","","","","Layne Bangerter comes to the United State Department of Agriculture (USDA) Rural Development (RD) with 33 years of federal service, most recently from the U.S. Environmental Protection Agency (EPA). At the EPA Bangerter served as the Deputy Associate Administrator for Intergovernmental Relations, where he facilitated interactions with state and local governments, and coordinated those activities with 10 EPA regional offices around the nation. He also previously served as State Director for Agriculture, Natural Resources, and Environment for U.S. Senator Mike Crapo of Idaho from 2003 to 2017. In this capacity, he represented Senator Crapo on various issues involving federal agency oversight and legislation. Additionally, he worked various roles for the Fish and Wildlife Service, and the USDA from July 1985 to April 2003 as a Wildlife Biologist. Layne was the Donald J. Trump Campaign Director for the State of Idaho. He was a valuable member of the Trump campaign team throughout the West, orchestrating efforts and traveling with Vice Presidential Nominee, Mike Pence. He was also a Donald J. Trump Delegate to the Republican National Convention. Following the election, he served on the Trump/Pence Transition Team from November 2016 to January 2017. Layne initially was sworn into the Administration on January 21, 2017 as a member of the President-Elect’s Transition “Beachhead Team” for EPA. He led this team at the EPA for the Office of Congressional and Intergovernmental Relations and the Office of Water. Layne was born to American parents in Sao Paulo, Brazil. He grew up in Alpine, Utah and attended college at Brigham Young University in Provo, Utah where he received his Bachelor’s Degree in Wildlife and Range Resource Management. He has had a passion for hard work from a young age. He has worked in home construction, farming, ranching, and agribusiness. His love of family, natural resources, sports, agriculture and private property rights are what drives him. Layne and his wife, Betsy, have been married for 34 years; they have eight children, and 10 grandchildren. He is the owner of a Farm, Ranch, and Land Company in Melba, Idaho. The Bangerter family focus their lives on service to their church and country. Layne is fluent in Portuguese and Spanish. He is an avid outdoorsman and conservationist. His interests include camping, hunting, fishing and horses. As State Director, Layne will use his leadership experience to oversee RD programs in a customer-focused manner to restore prosperity in rural Idaho.","Department of Agriculture","https://www.rd.usda.gov/about-rd/leadership/state-directors/layne-r-bangerter","","Bangerter","","","Agriculture","",""
"31","Agriculture","David Warren Matthews","Confidential Assistant, Food Nutrition and Consumer Services","Confidential Assistant, Farm Service Agency","","$66,510","2017-01-20","","https://www.documentcloud.org/documents/4345143-Matthews-David.html","","","","5","david-warren-matthews","","","","","agriculture","","","","","Western PA field director for Trump campaign","Dothan Eagle","http://www.dothaneagle.com/news/local/dothan-resident-a-donald-trump-delegate-at-convention/article_6f7b7fce-4c65-11e6-b4a9-939fd3e8836d.html","","Matthews","","","","","https://www.documentcloud.org/documents/4824403-David-Warren-Matthews-Resume.html"
"28","Agriculture","Timothy Michael Murtaugh","Special Assistant","Director of Communications","","$131,767","2017-02-15","","https://www.documentcloud.org/documents/4345146-Murtaugh-Timothy.html","","","","5","timothy-michael-murtaugh","","","","","agriculture","","","","https://www.linkedin.com/in/tim-murtaugh-64b5689/","Tim Murtaugh, a Pennsylvania native, is director of the Office of Communications. Murtaugh most recently served as director of communications for Rep. Lou Barletta, R-Pa.","DTN Progressive Farmer","https://www.dtnpf.com/agriculture/web/ag/news/world-policy/article/2017/05/10/usda-chief-potentially-naming-new","","Murtaugh","","","","","https://www.documentcloud.org/documents/4824412-Timothy-Michael-Murtaugh-Resume.html"
"30","Agriculture","William Ryan O'Dwyer","Special Assistant","Special Assistant, Marketing and Regulatory Programs","","$112,021","2017-03-07","2017-08-04","https://www.documentcloud.org/documents/4345147-O-Dwyer-William.html","","","","5","william-ryan-o-dwyer","","","","","agriculture","","","","https://www.linkedin.com/in/ryan-o-dwyer-452023b/","2012 Republican National Convention Deputy Director of Operations Tampa, FL 2011 to 2012 I was in Tampa for a full year planning the Convention so my duties were vast and varied. Some duties included, but are not limited to procuring official Convention vendors such as our tent dark fiber provider, energy provider, tent company, portable restroom provider, official caterers, etc. I managed the relationships with these vendors and gave them direction. I Oversaw the build-out of all Convention Campus which was the biggest in RNC history. This included our \"tent city\" with over 100,000 sq. ft. of tenting which was all either air-conditioned or misted, plus lit for night time use. I served as primary point of contact between the Tampa Bay Times Forum staff and Convention Operations. I had numerous relationships with much of the Forum staff. There is no way the Convention could have been successful without a good working relationship between the two parties. I acted as primary liaison between hospitality clients including Romney Victory. This included the planning of all hospitality areas that the Romney campaign required. The most notable project was a 6th floor outdoor deck tent at the Forum. The MITA Group, Inc. Principal Washington, D.C. 2008 to 2011 The MITA Group is a full service Government Affairs Firm that works on behalf of numerous clients in varied fields. The MITA Group performs traditional lobbying duties along with international client consulting duties, management of Political Action Committees and performs political campaign consulting. As a Principal, I was in charge of client support and research. This required the establishment of good relationships on Capitol Hill with Congressional staff in order to present our clients' positions on various issues and pieces of legislation. I also worked on various campaigns over the years and managed one of MITA's Political Action Committees. Romney For President Site Advance Various U.S. States 2012 I was on the Romney For President traveling advance team. Specifically, I was in charge of identifying sites for speeches and rallies, then securing that site and preparing it for a presidential speech or rally. The events that I assisted in organizing ranged in size from 2,000 to 30,000 attendees. The various logistics that need to be completed for these events include but are not limited to: stage set up, sound, lighting, camera platforms, restrooms, press preparation, catering, off stage holding areas, etc","NOLA.com via Internet Archive","https://web.archive.org/save/https://worknola.com/job-seeker-profile/wm-ryan-odwyer","","O'Dwyer","","","","","https://www.documentcloud.org/documents/4824413-William-Ryan-O-Dwyer-Resume.html"
"36","Environmental Protection Agency","Nancy Beck","Deputy Assistant Administrator for Chemical Safety and Pollution Prevention","","","$134,789-$164,200*","2017-04-30","","https://www.documentcloud.org/documents/4387728-Nancy-Beck-Financial-Disclosure.html","","","","63","nancy-beck","","","","","environmental-protection-agency","false","","","","","","","","Beck","","","","",""
"32","Environmental Protection Agency","Michael Abboud","Special Assistant for the Office of Public Affairs","","","$68,036-$88,450","2017-07-09","","https://www.documentcloud.org/documents/4387729-Michael-Abboud-Financial-Disclosure.html","","","","63","michael-abboud","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/michael-abboud-88a38498/","","","","","Abboud","","","","",""
"71","Environmental Protection Agency","Justin Schwab Jr.","Senior Advisor, Office of the Administrator","Senior Counsel, Office of the General Counsel","","$161,900","2017-01-21","","https://www.documentcloud.org/documents/3766227-Schwab-Justin.html","","","","63","justin-schwab-jr","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/justin-schwab-3316b14/","","","","","Schwab","","","","",""
"45","Environmental Protection Agency","Patrick J. Davis","Senior Advisor","","","$161,900","2017-01-21","","https://www.documentcloud.org/documents/3766122-Davis-Patrick.html","","","","63","patrick-j-davis","true","","","","environmental-protection-agency","","","","","","","","","Davis","","","","",""
"39","Environmental Protection Agency","Brittany Bolen","Principal Deputy Associate Administrator for Policy","Senior Deputy Associate Administrator for Policy","","$161,900","2018-04-15","","https://www.documentcloud.org/documents/4387733-Brittany-Bolen-Financial-Disclosure.html","","","","63","brittany-bolen","","true","","","environmental-protection-agency","","","","","","","","","Bolen","","","","Brittany Bolen was counsel for the Senate’s Environment and Public Works committee, when it was chaired by Sen. James Inhofe (R-OK).",""
"40","Environmental Protection Agency","Elizabeth Bowman","Deputy Associate Administrator for Public Affairs","Associate Administrator for Public Affairs","","$161,900","2017-05-14","","https://www.documentcloud.org/documents/4387734-Elizabeth-Bowman-Financial-Disclosure.html","","","","63","elizabeth-bowman","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/lizsnyderbowman/","","","","","Bowman","","","","",""
"41","Environmental Protection Agency","Byron R. Brown","Deputy Chief of Staff for Policy","","","AD-00","2017-03-05","","https://www.documentcloud.org/documents/4387735-Byron-R-Brown-Financial-Disclosure.html","","","","63","byron-r-brown","","true","","","environmental-protection-agency","","","","","Brown comes from the House Committee on Natural Resources where he served as counsel and oversight director since 2011. Prior, Brown worked in the Office of General Counsel at the EPA from 2001-2011, serving as an associate deputy general counsel and assistant general counsel.","U.S. Senate Committee on Environment and Public Works","https://www.epw.senate.gov/public/index.cfm/press-releases-republican?ID=2557EA5C-91F7-44A7-37A1-EE15A663BE7C","","Brown","","","","Byron Brown was senior counsel for the Senate’s Environment and Public Works, when it was chaired by Sen. James Inhofe (R-OK), and prior to that was an attorney at EPA. His wife is a top lobbyist for Hess Corporation, an oil and gas company.",""
"42","Environmental Protection Agency","Katherine Cory","Special Assistant to the Senior Deputy Associate Administrator for Intergovernmental Relations","","","$44,941","2017-06-18","","https://www.documentcloud.org/documents/4387731-Katherine-Cory-Financial-Disclosure.html","","","","63","katherine-cory","","","","","environmental-protection-agency","","","","","","","","","Cory","","","","",""
"46","Environmental Protection Agency","Alexander Dominguez","Policy Analyst to the Senior Advisor to the Administrator for Air and Radiation","","","$56,233-$73,105","2017-05-21","","https://www.documentcloud.org/documents/4387527-Alexander-Dominguez-Financial-Disclosure.html","","","","63","alexander-dominguez","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/alexander-dominguez-aa169261/","","","","","Dominguez","","","","",""
"38","Environmental Protection Agency","Susan Bodine","Senior Advisor to the Administrator","","","$155,500","2017-08-13","","https://www.documentcloud.org/documents/4387730-Susan-Bodine-Financial-Disclosure.html","","","","63","susan-bodine","true","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/susan-bodine-206b7b10/","From 2015-2017, Bodine served as chief counsel at the EPW Committee. From 2009-2015, Bodine was a partner at Barnes and Thornburg. During the last three years of the Bush administration, she served as the assistant administrator for EPA’s Office of Solid Waste and Emergency Response. Prior to that, Bodine was staff director of the Subcommittee on Water Resources and Environment of the House Transportation and Infrastructure Committee.","U.S. Senate Committee on Environment and Public Works","https://www.epw.senate.gov/public/index.cfm/2017/12/senate-confirms-susan-bodine-to-lead-epa-enforcement-office","","Bodine","","","","",""
"72","Environmental Protection Agency","Kaitlyn Shimmin","Special Assistant to the Office of Congressional and Intergovernmental Relations","","","$73,160","2017-07-16","","https://www.documentcloud.org/documents/4387762-Kaitlyn-Shimmin-Financial-Disclosure.html","","","","63","kaitlyn-shimmin","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/kaitlyn-shimmin-8a2baab/","","","","","Shimmin","","","","",""
"44","Environmental Protection Agency","Veronica Darwin","Senior Advisor to the Administrator for Land and Emergency Management","","","$112,021","2017-07-10","","https://www.documentcloud.org/documents/4387732-Veronica-Darwin-Financial-Disclosure.html","","","","63","veronica-darwin","","","","","environmental-protection-agency","","","","","","","","","Darwin","","","","",""
"722","Office of the Vice President","Joshua Pitcock","Assistant to the President and Chief of Staff to the Vice President","","","","2017-01-20","","https://www.documentcloud.org/documents/3766648-Pitcock-Joshua.html","https://www.documentcloud.org/documents/3860616-White-House-Waiver-Chart-5-31-17.html","","","57","joshua-pitcock","true","","","","office-of-the-vice-president","","","","","","","","","Pitcock","","","","",""
"880","Management and Budget","Marcus C. Peacock","Advisor","","","$161,900","2017-01-20","2017-04-08","https://www.documentcloud.org/documents/4388079-Marcus-C-Peacock-Financial-Disclosure.html","https://www.documentcloud.org/documents/4435501-Peacock-Marcus-Waiver.html","","","52","marcus-c-peacock","true","","","","management-and-budget","","","","","","","","","Peacock","","","","",""
"50","Environmental Protection Agency","Hayley Ford","Deputy White House Liaison","","","$101,116","2017-05-14","","https://www.documentcloud.org/documents/4387741-Hayley-Ford-Financial-Disclosure.html","","","","63","hayley-ford","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/hayley-ford-b2b71519/","","","","","Ford","","","","",""
"54","Environmental Protection Agency","Robert Frye","Special Assistant to the Deputy Associate Administrator for Congressional Affairs","","","","2017-07-24","","https://www.documentcloud.org/documents/4387738-Robert-Frye-Financial-Disclosure.html","","","","63","robert-frye","","","","","environmental-protection-agency","","","","","","","","","Frye","","","","",""
"51","Environmental Protection Agency","Dennis Forsgren","Deputy Assistant Administrator for Water","","","$172,100","2017-07-09","","https://www.documentcloud.org/documents/4387742-Dennis-Forsgren-Financial-Disclosure.html","https://www.documentcloud.org/documents/4367218-Forsgren-Dennis-Waiver.html","","","63","dennis-forsgren","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/d-forsgren-062840a/","","","","","Forsgren","","","","",""
"53","Environmental Protection Agency","John Peter Freire","Associate Administrator for Public Affairs","","","","2017-03-24","2017-07-11","https://www.documentcloud.org/documents/4387737-John-Peter-Freire-Financial-Disclosure.html","","","","63","john-peter-freire","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/j-p-freire-a3b3662/","Freire joins Hatch’s staff after two years of serving as Communications Director and Speechwriter for U.S. Rep. Mike Pompeo of the 4th District of Kansas. He previously worked as a Senior Communications Strategist in crisis communications, campaigns, and corporate defense for New Media Strategies following nearly eight years as an award-winning conservative journalist, including turns as Associate Editorial Page Editor at the Washington Examiner, Managing Editor at the American Spectator, and Researcher/Writer at the New York Times. In 2009 he was honored as CPAC’s Journalist of the Year. Freire holds a B.A. in English from Cornell University, where he also served as senior editor of the Cornell Review.","Office of U.S. Sen. Orrin Hatch","https://www.hatch.senate.gov/public/index.cfm/2014/10/senator-hatch-announces-j-p-freire-as-new-communications-director-and-mathew-jensen-as-legislative-assistant","","Freire","","","","",""
