id,slug,agency_slug,position_title_1,position_title_2,position_title_3,staffer_id,start_date,end_date,agency_id,grade_level,linkedin_url,organization_name,organization_type,position_held,from_date,to_date,organization_slug
15,ryan-mccarthy,defense,Under Secretary of the Army,,,1472,2017-08-01,,5,,,Lockheed Martin,Corporation,Vice President Sustainment Line of Business,2011-08-16,,lockheed-martin
16,james-e-mcpherson,defense,General Counsel of the Army,,,1473,2017-12-20,,5,,,National Association of Attorneys General,Non-Profit,Executive Director,2008-03-16,,national-association-of-attorneys-general
17,james-n-stewart,defense,Assistant Secretary for Manpower and Reserve Affairs,,,1475,,,5,,,North Carolina Military Affairs Commission (unpaid),State Commission,Committee Chair,2015-07-16,2017-02-15,north-carolina-military-affairs-commission-unpaid
18,brian-d-quintenz,commodity-futures-trading-commission,Commissioner,,,1476,2017-08-03,,62,,,Saeculum Capital Management LLC,"Commodity Pool Operator, CFTC/NFA","Founder, Managing Member, Associated Person",2013-10-16,2016-12-16,saeculum-capital-management-llc
20,brian-d-quintenz,commodity-futures-trading-commission,Commissioner,,,1476,2017-08-03,,62,,,Saeculum Capital Partners LP,Commodity Pool,Managing Member of the General Partner (SCM LLC),2013-10-16,2016-12-16,saeculum-capital-partners-lp
21,brian-d-quintenz,commodity-futures-trading-commission,Commissioner,,,1476,2017-08-03,,62,,,"DC Trust #1, U.S. bank #2",Trust,Sole Trustee,2007-08-16,,dc-trust-1-u-s-bank-2_hide
22,brian-d-quintenz,commodity-futures-trading-commission,Commissioner,,,1476,2017-08-03,,62,,,"DC Trust #2, U.S. bank #2",Trust,Sole Trustee,2009-08-16,,dc-trust-2-u-s-bank-2_hide
23,brian-d-quintenz,commodity-futures-trading-commission,Commissioner,,,1476,2017-08-03,,62,,,Foundation for the Preservation of Historic Georgetown,Non-Profit,Trustee,2015-10-16,,foundation-for-the-preservation-of-historic-georgetown
24,ellen-m-lord,defense,"Under Secretary for Acquisition, Technology and Logistics",,,1477,2017-08-01,,5,,https://www.linkedin.com/in/ellen-lord-21458622/,Textron Inc.,Corporation,President & CEO Textron Systems,2012-10-16,,textron-inc
26,ellen-m-lord,defense,"Under Secretary for Acquisition, Technology and Logistics",,,1477,2017-08-01,,5,,https://www.linkedin.com/in/ellen-lord-21458622/,U. S. Naval Institute Foundation,Non-Profit,Trustee,2015-05-16,,u-s-naval-institute-foundation
27,ellen-m-lord,defense,"Under Secretary for Acquisition, Technology and Logistics",,,1477,2017-08-01,,5,,https://www.linkedin.com/in/ellen-lord-21458622/,Family Trust,Trust,Co-trustee,2016-04-16,,family-trust_hide-c90d3925-74d2-4c8c-b23b-3e20b38d9e75
28,ellen-m-lord,defense,"Under Secretary for Acquisition, Technology and Logistics",,,1477,2017-08-01,,5,,https://www.linkedin.com/in/ellen-lord-21458622/,Center for New American Security,Non-Profit,Advisor,2014-01-16,,center-for-a-new-american-security
29,ellen-m-lord,defense,"Under Secretary for Acquisition, Technology and Logistics",,,1477,2017-08-01,,5,,https://www.linkedin.com/in/ellen-lord-21458622/,U.S. India Business Council,Non-Profit,Board of Directors,2014-04-16,,u-s-india-business-council
30,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,Stanford University,University/Colle ge,"Professor of Medicine; Vice Chair, Department of Medicine; resident fellow, Robinson House; attending physician, University Hospitalist Service",2013-08-16,,stanford-university
31,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,Infectious Disease Alert,medical journal,Associate Editor,2004-01-16,,infectious-disease-alert
32,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,Diagnostic Microbiology and Infectious Disease,Medical Journal,Associate Editor,2014-01-16,,diagnostic-microbiology-and-infectious-disease
33,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,AIDS,Journal,Reviewer,1990-01-16,,aids
34,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,Journal of Antimicrobial Chemotherapy,Medical Journal,Reviewer,2013-01-16,,journal-of-antimicrobial-chemotherapy
36,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,Infectious Diseases Society of America Guidelines Committee,medical/scientifi c,Chair,2011-10-16,,infectious-diseases-society-of-america-guidelines-committee
37,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,Weiss Salinas Law Group,Law Firm,consultant,2016-01-16,,weiss-salinas-law-group
38,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,"Norcal Mutual Insurance, Co",insurance company,consultant,2016-07-16,2016-09-16,norcal-mutual-insurance-co
39,dean-l-winslow,defense,Assistant Secretary for Health Affairs,,,1478,,,5,,https://www.linkedin.com/in/dean-winslow-1044771/,City and County of San Francisco,local government,consultant,2016-04-16,2016-06-16,city-and-county-of-san-francisco
40,thomas-b-modly,defense,"Under Secretary of the Navy, Office Of The Under Secretary Of The Navy",,,1479,2017-11-16,,5,,https://www.linkedin.com/in/thomas-modly-6686389/,"PricewaterhouseCoopers Public Sector, LLP",Partnership,Managing Director,2007-08-16,,pricewaterhousecoopers
42,peter-b-davidson,commerce,General Counsel,,,1480,2017-08-03,,43,,,Washington Tennis and Education Foundation,Non-Profit,Board Member,2005-01-16,,washington-tennis-and-education-foundation
2206,connor-michael-dunn,housing-and-urban-development,Scheduler,,,1857,2017-09-21,,72,"$66,510",,National Multifamily Housing Council,Trade Association,"Manager, Government Affairs",2015-06-16,2017-09-16,national-multifamily-housing-council
44,peter-b-davidson,commerce,General Counsel,,,1480,2017-08-03,,43,,,The Bryce Harlow Foundation,Non-Profit,Board Member,2012-01-16,,the-bryce-harlow-foundation
46,kevin-fahey,defense,Assistant Secretary for Acquisition,,,1482,2018-02-15,,5,,https://www.linkedin.com/in/kevin-fahey-700b0780/,Kevin Michael Fahey Incorporated (strategic consulting firm),Corporation,President,2016-01-16,,kevin-michael-fahey-incorporated
47,david-j-redl,commerce,Assistant Secretary for Communications and Information,,,1483,2017-11-07,,43,,,Pennsylvania Lambda Corporation,Corporation,President,2014-06-16,2015-05-16,pennsylvania-lambda-corporation
48,david-j-redl,commerce,Assistant Secretary for Communications and Information,,,1483,2017-11-07,,43,,,Pennsylvania Lambda Corporation,Corporation,Vice President,2015-06-16,2016-05-16,pennsylvania-lambda-corporation
49,mark-t-esper,defense,Secretary of the Army,,,1484,2017-11-16,,5,,https://www.linkedin.com/in/mark-esper-11b4671/,Raytheon Company,Corporation,Vice President,2010-07-16,,raytheon-company
51,robert-r-hood,defense,Assistant Secretary for Legislative Affairs,,,1485,2017-08-01,,5,,,CH2M HILL,Corporation,VP Government Relations,2009-01-16,,ch2m-hill
52,robert-r-hood,defense,Assistant Secretary for Legislative Affairs,,,1485,2017-08-01,,5,,,International Stability Operations Association (uncompensated),Non-Profit,Board of Directors,2011-01-16,2015-12-16,international-stability-operations-association-uncompensated
53,robert-r-hood,defense,Assistant Secretary for Legislative Affairs,,,1485,2017-08-01,,5,,,"Trump for America, Inc. (uncompensated)",Non-Profit,volunteer,2016-12-16,2017-01-16,trump-for-america-inc
54,robert-daigle,defense,"Director, Cost Assessment and Program Evaluation",,,1486,2017-08-01,,5,,,"North Hill Partners, LLC",Corporation,Partner,2016-06-16,,north-hill-partners-llc
55,robert-daigle,defense,"Director, Cost Assessment and Program Evaluation",,,1486,2017-08-01,,5,,,Revocable Family Trust,Trust,Co-trustee,2003-11-16,,revocable-family-trust_hide
56,gilbert-kaplan,commerce,Under Secretary for International Trade,,,1489,,,43,,,King & Spalding,Law Firm,Partner,2004-06-16,,king-spalding-llp
58,john-c-rood,defense,Under Secretary for Policy,"Under Secretary Of Defense For Policy, Office Of The Under Secretary Of Defense (Policy)",,1490,2018-01-03,,5,,,Lockheed Martin Corporation,Corporation,Senior Vice President/Vice President,2014-06-16,,lockheed-martin
59,john-c-rood,defense,Under Secretary for Policy,"Under Secretary Of Defense For Policy, Office Of The Under Secretary Of Defense (Policy)",,1490,2018-01-03,,5,,,Youth Impact Program,Non-Profit,"Member, Board of Directors",2015-03-16,,youth-impact-program
60,john-c-rood,defense,Under Secretary for Policy,"Under Secretary Of Defense For Policy, Office Of The Under Secretary Of Defense (Policy)",,1490,2018-01-03,,5,,,US-India Business Council,Non-Profit,Member of Board of Directors,2016-11-15,,u-s-india-business-council
62,walter-copan,commerce,Under Secretary for Standards and Technology,,,1492,2017-10-05,,43,,,IP Engineering Group Corporation,Corporation,President and CEO,2015-01-16,,ip-engineering-group-corporation
63,walter-copan,commerce,Under Secretary for Standards and Technology,,,1492,2017-10-05,,43,,,Rocky Mountain Innovation Partners,Non-Profit,Founding Board Member and Director,2014-06-16,,rocky-mountain-innovation-partners
64,walter-copan,commerce,Under Secretary for Standards and Technology,,,1492,2017-10-05,,43,,,Impact Engineered Wood Corporation,Corporation,Chairman,2015-05-16,2017-06-16,impact-engineered-wood-corporation
65,walter-copan,commerce,Under Secretary for Standards and Technology,,,1492,2017-10-05,,43,,,Tekcapital plc,Corporation,Advisor and VP Technology Transfer,2014-07-16,,tekcapital-plc
66,walter-copan,commerce,Under Secretary for Standards and Technology,,,1492,2017-10-05,,43,,,Copan Associates LLC,Consulting Firm - LLC,President,2009-08-16,,copan-associates-llc
68,walter-copan,commerce,Under Secretary for Standards and Technology,,,1492,2017-10-05,,43,,,"COPAN LIVING TRUST, dated March 28, 2016",Trust,Trustee,2016-03-16,,copan-living-trust-dated-march-28-2016
69,john-h-gibson-ii,defense,Chief Management Officer,Deputy Chief Management Officer,,1493,2018-02-15,,5,,https://www.linkedin.com/in/john-jay-gibson-ii-3179a196/,"XCOR Aerospace, Inc.",Corporation,President/CEO,2015-02-15,2017-06-16,xcor-aerospace-inc
70,john-h-gibson-ii,defense,Chief Management Officer,Deputy Chief Management Officer,,1493,2018-02-15,,5,,https://www.linkedin.com/in/john-jay-gibson-ii-3179a196/,Looking Glass Investments,LLC,Chairman of Advisory Board,2016-01-16,2017-06-16,looking-glass-investments
71,john-h-gibson-ii,defense,Chief Management Officer,Deputy Chief Management Officer,,1493,2018-02-15,,5,,https://www.linkedin.com/in/john-jay-gibson-ii-3179a196/,"XCOR Aerospace, Inc.",Corporation,President/CEO,2015-02-15,,xcor-aerospace-inc
72,john-h-gibson-ii,defense,Chief Management Officer,Deputy Chief Management Officer,,1493,2018-02-15,,5,,https://www.linkedin.com/in/john-jay-gibson-ii-3179a196/,Looking Glass Investments,LLC,Chairman of Advisory Board,2016-01-16,,looking-glass-investments
73,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Filers Farm,Farm Owned and Operated,Owner,1975-01-16,,filers-farm
74,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,"A C Riley Cotton Co, LLC",Limited Liability Company,Managing Member ( I manage cotton gin business),2001-11-16,,a-c-riley-cotton-co-llc
75,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,"A C Riley Land Co, LLC",Limited Liability Company,Managing Member (I manage farmland),2001-11-16,,a-c-riley-land-co-llc
76,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,"A C Riley Equipment Co, LLC",Limited Liability Company,Managing Member (I Manage equipment rental company),2001-11-16,,a-c-riley-equipment-co-llc
77,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,The Riley James Family Limited Partnership,Family Limited Partnership,Managing Partner,1997-01-16,,the-riley-james-family-limited-partnership
78,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,"OSI Farms, LLC",Limited Liability Company,Member(Dirt moving business) It is managed by IC 1,2009-02-15,,osi-farms-llc
79,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Spouse's Generation Skipping Trust,Trust,Trustee(I have no beneficial interest in this Trust),2001-11-16,,spouse-s-generation-skipping-trust_hide
80,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Family member Generation Skipping Trust,Trust,Trustee (I have no beneficial interest in this Trust),2001-11-16,,family-member-generation-skipping-trust_hide
81,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Spouse's  Trust,Trust,Trustee (I have no beneficial interest in this Trust),2001-11-16,,spouse-s-trust
82,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Family Member Trust,Trust,Trustee (I have no beneficial interest in this Trust),2001-11-16,,family-member-trust_hide
84,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Spouse's CFP GST,Trust,Trustee (I have no beneficial interest in this Trust),2014-12-16,,spouse-s-cfp-gst
85,r-d-james,defense,Assistant Secretary of the Army for Civil Works,,,1494,2018-01-25,,5,,,Spouse's Farm,SPOUSE sole proprietorship,manager for my wife's farm land,1970-08-16,,spouse-s-farm
86,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Center for Urban Families,Non-Profit,Board Member,2016-01-16,,center-for-urban-families
1948,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TIHH MEMBER CORP (pass-thru company for TIHH MEMBER LLC (pass-thru company for TRUMP INTERNATIONAL HOTEL HAWAII LLC (license holder)),Corporation,Vice President,2009-09-16,2017-01-16,tihh-member-corp-pass-thru-company-for-tihh-member-llc-pass-thru-company-for-trump-international-hotel-hawaii-llc-license-holder
1949,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TIHH MEMBER LLC (pass-thru company for TRUMP INTERNATIONAL HOTEL HAWAII LLC (license holder)),Limited Liability Company,Vice President,2009-09-16,2017-01-16,tihh-member-llc-pass-thru-company-for-trump-international-hotel-hawaii-llc-license-holder
89,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Civic Federation of Chicago,Non-Profit,Trustee and Board Member,2000-01-16,,civic-federation-of-chicago
90,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Adler Planetarium,Non-Profit,Trustee,2006-01-16,,adler-planetarium
91,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Adler Planetarium,Non-Profit,Secretary of the Board,2014-01-16,,adler-planetarium
92,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Baltimore Urban Debate League,Non-Profit,Board Member,2013-01-16,,baltimore-urban-debate-league
94,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Family Trust #2,Trust,Trustee,2012-12-16,,family-trust-2_hide
95,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Pier Homes at Harborview Homeowners Association,Non-Profit Homeowners Association,Board President,2016-01-16,,pier-homes-at-harborview-homeowners-association
96,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Independent Maps,Non-Profit,Board Member,2015-06-16,2016-06-16,independent-maps
98,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,Baltimore World Trade Center Institute,Non-Profit,Pro-Bono Advisor,2015-01-16,,baltimore-world-trade-center-institute
99,barbara-stewart,corporation-for-national-and-community-service,Chief Executive Officer,,,1495,2018-02-07,,63,,,YPO Gold Baltimore-Washington Chapter,Non-Profit,Ex-Officio Board Member,2015-01-16,,ypo-gold-baltimore-washington-chapter
100,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,Fickling Management Services,Corporation,President,2014-11-15,,fickling-management-services
101,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,State Bank and Trust,Corporation,Board Member,2012-09-16,,state-bank-and-trust
102,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,Boeing Corporation,Corporation,C-17 Director of Field Operations,2014-05-16,2015-08-16,boeing-company
103,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,Dayton Aerospace Inc,Corporation,Consultant,2017-02-15,,dayton-aerospace-inc
105,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,The Macon Cherry Blossom Festival Board of Directors,Non-Profit,Board Member,2012-09-16,,the-macon-cherry-blossom-festival-board-of-directors
106,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,The Macon Chamber of Commerce Executive Board,Non-Profit,Board Member,2016-01-16,,the-macon-chamber-of-commerce-executive-board
108,robert-h-mcmahon,defense,Assistant Secretary for Logistics and Materiel Readiness,"Assistant Secretary Of Defense (Logistics And Materiel Readiness), Deputy Under Secretary Of Defense (Logistics And Materiel Readiness)",,1496,2017-11-16,,5,,,21st Century Partnership Advisory Board,Non-Profit,Board Member,2016-03-16,,twenty-first-century-fox-inc
109,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Global Atlantic Financial Group Limited,Corporation,Board of Directors,2013-05-16,,global-atlantic-financial-group-limited
110,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,CX Technologies LLC,Limited Liabilty Company,Board of Directors,2013-08-16,,cx-technologies-llc
111,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,86Borders LLC,Limited Liability Company,Board of Directors,2013-03-16,,86borders-llc
112,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,"StarPound Technologies, Inc.",Corporation,Board of Directors,2011-09-16,,starpound-technologies-inc
113,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Marine Corps Heritage Foundation,Non-Profit,Board of Directors,2010-11-15,,marine-corps-heritage-foundation
115,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Veterans Campaign,Non-Profit,Board of Directors,2010-02-15,,veterans-campaign
116,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Honoring Our Veterans,Non-Profit,Board of Directors,2014-08-16,,honoring-our-veterans
117,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Teton County Search and Rescue Foundation,Non-Profit,Board of Directors,2014-06-16,,teton-county-search-and-rescue-foundation
118,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Fall Creek Management LLC,Limited Liability Company,Managing Member,2008-01-16,,fall-creek-management-llc
119,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,ENGAGEcx,Corporation,Board Member,2014-04-16,,engagecx
121,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Ariel Re Limited,Corporation,Board of Directors,2013-05-16,,ariel-re-limited
122,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Commonwealth Annuity and Life Insurance Company,Corporation,Board of Directors,2013-05-16,,commonwealth-annuity-and-life-insurance-company
123,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,First Allmerica Financial Life Insurance Company,Corporation,Board of Directors,2013-05-16,,first-allmerica-financial-life-insurance-company
124,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Accordia Life and Annuity Company,Corporation,Board of Diectors,2013-09-16,,accordia-life-and-annuity-company
126,richard-v-spencer,defense,Secretary of the Navy,,,1497,2017-08-01,,5,,,Forethought National Life Insurance Company,Corporation,Board of Directors,2014-01-16,,forethought-national-life-insurance-company
127,shon-j-manasco,defense,Assistant Secretary of the Air Force for Manpower and Reserve Affairs,,,1498,2017-11-16,,5,,,USAA,Corporation,Chief Administrative Officer,2015-02-15,2016-08-16,usaa
128,shon-j-manasco,defense,Assistant Secretary of the Air Force for Manpower and Reserve Affairs,,,1498,2017-11-16,,5,,,McNay Art Museum,Non-Profit,Board Member,2013-10-16,,mcnay-art-museum
129,shon-j-manasco,defense,Assistant Secretary of the Air Force for Manpower and Reserve Affairs,,,1498,2017-11-16,,5,,,Haven for Hope,Non-Profit,Board Member,2014-10-16,,haven-for-hope
131,courtney-simmons-elwood,central-intelligence-agency,General Counsel,,,1499,2017-06-05,,36,,,"Kellogg Huber Hansen Todd Evans & Figel, PLLC",Law Firm,Partner,2007-11-15,,kellogg-huber-hansen-todd-evans-figel-pllc
132,courtney-simmons-elwood,central-intelligence-agency,General Counsel,,,1499,2017-06-05,,36,,,Estate of Family Member,Estate,Executor,2014-01-16,,estate-of-family-member
2215,benjamin-hobbs,housing-and-urban-development,Special Policy Advisor,,,1862,2017-06-05,,72,"$79,720",,The Heritage Foundation,Non-Profit,"Graduate Fellow, Welfare Studies",2016-05-16,2016-07-16,the-heritage-foundation
135,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,Dynetics Corporation,Corporation,Consultant,2017-05-16,,dynetics-corporation
136,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,"Belcan Industries, LLC",Corporation,Consultant,2017-05-16,,belcan-industries-llc
137,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,Charles Stark Draper Laboratory,Non-Profit,Member of the Corporation,2009-10-16,,charles-stark-draper-laboratory
138,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,American Institute of Aeronautics and Astronautics Foundation,Non-Profit,Chairman,2014-05-16,2016-05-16,american-institute-of-aeronautics-and-astronautics-foundation
139,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,Johns Hopkins University Applied Physics Laboratory,Non-Profit,Senior Fellow,2016-04-16,,johns-hopkins-university
140,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,Teledyne Brown Engineering,Corporation,Consultant,2015-05-16,2015-06-16,teledyne-brown-engineering
141,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,"BWX Technologies, Inc.",Corporation,Consultant,2016-08-16,2016-08-16,bwx-technologies-inc
142,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,Stratolaunch Systems,Corporation,Advisory Board Member,2013-08-16,,stratolaunch-systems
143,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,Vanguard Research Inc.,Corporation,Consultant,2017-05-16,,vanguard-research-inc
144,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,8 Rivers Capital,Corporation,Advisory Board Member,2016-05-16,2017-07-16,8-rivers-capital
145,michael-d-griffin,defense,Under Secretary for Research and Engineering,"Principal Deputy Under Secretary for Acquisition, Technology, and Logistics",,1500,2018-02-15,,5,,,"OmniEarth, Inc.",Corporation,Board Member,2014-06-16,2017-04-16,omniearth-inc
